text,label
"Beijing signs pact for Asean trade VIENTIANE, Laos China moved yet another step closer in cementing its economic and diplomatic relationships with Southeast Asia today when Prime Minister Wen Jiabao signed a trade accord at a regional summit that calls for zero tariffs on a wide range of",0
"NK account of blast may be true The United States said on Tuesday that last week #39;s blast in North Korea that stirred fears of a nuclear explosion might have been demolition work for a power project, as Pyongyang has asserted.",0
Islamic School Set Ablaze in Netherlands (AP) AP - Suspected arsonists set an Islamic elementary school on fire Tuesday amid a string of attacks following the killing of a Dutch filmmaker by an alleged Islamic extremist.,0
"Russian FM meets with Katsav Russian Foreign Minister Sergey Lavrov met Monday with Israeli #39;s President Moshe Katsav as part of his first tour of the region to discuss, among other topics, a collaboration between the two countries in combating terrorism.",0
Kabul in Touch With Captors of UN Aides The Afghan government announced Tuesday that contact had been made with the three United Nations election officials kidnapped nearly two weeks ago and expressed hope that they would be released soon.,0
"U.S. Expats Jump on Planes to Vote in Home States (Reuters) Reuters - Determined to make sure their voices\count, some American expatriates who missed registration\deadlines or are worried about the reliability of absentee\ballots are flying home next week just to vote.",0
Russia Boosts Security After Twin Air Crashes MOSCOW (Reuters) - Russia toughened security measures Saturday and vowed to prevent any recurrence of twin air crashes in which investigators were pursuing leads linked to terrorism ahead of elections in volatile Chechnya.,0
"Most terror attacks cost al-Qaida little, report finds The al-Qaida terrorist network spent less than \$50,000 on each of its major attacks except for the Sept. 11, 2001, suicide hijackings, and one of its hallmarks is using",0
N.Irish Talks Deadlocked with Time Running Short (Reuters) Reuters - The British and Irish\prime ministers struggled to break an apparent deadlock in\talks aimed at sealing a final peace settlement for Northern\Ireland as a deadline loomed.,0
"Japan, US sign missile defense cooperation memo Japan and the United States signed an agreement Friday on the details of their joint development of a ballistic missile defense system.",0
"Internet video says Japanese man taken captive, faces beheading CAIRO -- Video posted yesterday on a militant Islamic website showed what it claimed was a Japanese captive kidnapped by Abu Musab al-Zarqawi's group, and threatened to behead him within 48 hours unless Japan pulls its troops from Iraq.",0
Pitcairn women blast sex trials A group of women on the tiny UK Pacific colony of Pitcairn criticise sex abuse trials about to start on the island.,0
"Harper maintains message consistent in Quebec and rest of Canada (Canadian Press) Canadian Press - QUEBEC (CP) - Stephen Harper denied accusations of political opportunism in Quebec on Saturday, saying he wants voters in the province to chose the Conservatives for principles that apply across the country.",0
China Sees Heavy Investment in Argentina in Decade (Reuters) Reuters - China and Argentina\signed accords on Tuesday that could bring nearly #36;20 billion\in investment from the Asian giant over the next 10 years for\the capital-starved Latin American economy.,0
"Bush Pushes for Social Security Overhaul (AP) AP - President Bush made a fresh push Saturday for a new Social Security plan in which Americans would be allowed to channel a small portion of their income into ""personal savings accounts,"" warning that inaction could end the retirement system.",0
"Iraq #39;s top Shiite cleric tells followers to end fighting BAGHDAD, Iraq - Rebel Shiite cleric Muqtada al-Sadr called today for his followers across Iraq to end fighting against US and Iraqi forces, an al-Sadr aide said.",0
UN Calls for Immediate End to Congo Fighting (Reuters) Reuters - The United Nations called on Monday\for an immediate cease-fire in eastern Congo as fighting\between rival army factions flared for a third day.,0
"Hurricane Ivan Threatens Barbados, Eastern Caribbean MIAMI (Reuters) - The eastern Caribbean island of Barbados was under a storm alert as powerful Hurricane Ivan raced across the Atlantic Ocean toward the Caribbean on Sunday.",0
"Annan Sees Hope for Great Lakes Peace DAR ES SALAAM (Reuters) - U.N Secretary General Kofi Annan urged leaders of Africa's resource-rich but blood-soaked Great Lakes region on Friday to implement a peace plan that could herald a ""new era"" for millions of Africans.",0
"Hicks to be reunited with father ELEANOR HALL: After close to three years in US detention, Australian Guantanamo Bay detainee, David Hicks, will shortly be reunited with his father, Terry, whos on his way to Cuba to attend his son #39;s trial before a US military commission.",0
"The next president could tip high court (USATODAY.com) USATODAY.com - This election's potential impact on the Supreme Court has seemed to be an afterthought, but the stakes for the court and the law are even higher now than they were in 2000. The prospect of a change on the court is greater and the replacement of one justice could affect the law on hot issues.",0
"Muslims, Buddhists Clash in Thailand Description: Violence continues in southern Thailand, where some say Islamic separatists are bent on splitting off the largely Muslim south from the Buddhist north.",0
"A Look at U.S. Military Deaths in Iraq (AP) AP - As of Saturday, Nov. 20, 2004, at least 1,221 members of the U.S. military have died since the beginning of the Iraq war in March 2003, according to an Associated Press count. At least 946 died as a result of hostile action, the Defense Department said as of Friday. The figures include three military civilians.",0
"Yukos Oil Co. Still Close to Bankruptcy (AP) AP - Russia's Yukos oil company has paid #36;2.2 billion of its #36;3.4 billion tax bill for 2000, Yukos' top finance official said Friday, as he renewed warnings that the embattled company was close to bankruptcy.",0
"U.S.: Iraqi Prisoners Won't Be Released BAGHDAD, Iraq - Iraq's leader and U.S. officials moved quickly Wednesday to squelch the idea a top female germ-warfare scientist for Saddam Hussein would be freed soon, after a senior Iraqi official said the decision had been made to release her...",0
"New Chechen Leader Vows Peace, Poll Criticized GROZNY, Russia (Reuters) - Chechnya's new leader vowed on Monday to rebuild the shattered region and crush extremists after winning an election condemned by a rights group as a show stage-managed by Moscow.",0
"Profile: Cambodian King Nears End of Long Political Career Cambodia #39;s legislature has voted to allow a nine-member council to choose a successor to 81-year-old King Norodom Sihanouk, who abdicated last week.",0
"Security Tight for Anniversary of Bali Bombings KUTA BEACH, Indonesia (Reuters) - Security was tight in this tourist center on the island of Bali as ceremonies began on Tuesday to mark the second anniversary of bomb blasts that killed 202 people, mostly foreigners.",0
"Jamaicans Flee as Powerful Hurricane Approaches Hurricane Ivan, the third powerful storm to boil up out of the Atlantic this year, bore down on Jamaica today after devastating Grenada.",0
"US soldier jailed for murdering Iraqi teenager A US soldier has been sentenced to three years in prison for murdering a severely wounded Iraqi teenager earlier this year, the US military says.",0
British Hostage's Family Appeals to Blair to Save Him (Reuters) Reuters - The family of a British hostage\threatened with execution in Iraq made a desperate appeal to\Prime Minister Tony Blair on Tuesday to meet kidnappers'\demands and save his life.,0
"Prince to defend himself in speech Prince Charles is expected to publicly deny that he believes Britain #39;s quot;learning culture quot; gives people false hope of success, the BBC reported Sunday.",0
"Beijing's Tourism Impresses Williams Three days into his 11-day trip to Asia, the D.C. mayor said Washington has much to learn from the way China's capital sells itself as a tourist destination.",0
"Honolulu Residents Vote for Mayor (AP) AP - Duke Bainum outspent Mufi Hannemann in Honolulu's most expensive mayoral race, but apparently failed to garner enough votes in Saturday's primary to claim the office outright.",0
"Former Drug Lord Gunned Down in Brazil Jose Carlos dos Reis Encina, once Brazil's most notorious drug lords, was gunned down on a major avenue Thursday, police said.",0
Blair Seeks to Prick World Conscience on Africa Britain hopes to use a summit in Ethiopia this week to force an international community obsessed with Iraq and terrorism to also focus on the quot;scar quot; of Africa.,0
"Former rebel leader elected Kosovo prime minister The Kosovo parliament on Friday elected former rebel leader Ramush Haradinaj, an ethnic Albanian, as prime minister of the UN-controlled southern Serbian province.",0
"Big Anti-Bush Protests Expected in NYC NEW YORK - Demonstrators took to the streets on Sunday to protest President Bush's foreign and domestic policies as Republican delegates gathered to nominate the president for a second term. A day ahead of the start of the Republican National Convention, up to 250,000 demonstrators were expected to march up Seventh Ave...",0
"Thailand confirms second case of bird flu Bangkok, Sept 27.(PTI): Thailand today announced that a 32-year-old woman is suffering from Avian Flu, the second confirmed human case of the disease since the latest outbreak started in July.",0
"EU-China summit to give Beijing signal on arms ban THE HAGUE : The EU is set to give a quot;positive signal quot; to China at a summit with Prime Minister Wen Jiabao over his call to lift a 15-year-old EU arms embargo, but no immediate decision is expected.",0
"Prince Charles, widows honor war dead Prince Charles joined 140 military widows Saturday for an annual ceremony honoring Britain #39;s war dead, including those killed in Iraq.",0
